"ID","item_name","response"
"VB049","probable_continuar_estudios",9
"VB049","estudiar_vale_la_pena",6
"VB049","considera_trabajar",1
"VB049","probabilidad_cambiar_planes",6
"VB049","probabilidad_carrera_no_gusta",7
"VB049","influencia_situacion_pais",10
"VB049","esfuerzo_es_suficiente",5
"VB049","sosten_economico_carrera",7
"VB050","probable_continuar_estudios",9
"VB050","estudiar_vale_la_pena",8
"VB050","considera_trabajar",0
"VB050","probabilidad_cambiar_planes",8
"VB050","probabilidad_carrera_no_gusta",5
"VB050","influencia_situacion_pais",9
"VB050","esfuerzo_es_suficiente",2
"VB050","sosten_economico_carrera",8
"VB051","probable_continuar_estudios",6
"VB051","estudiar_vale_la_pena",3
"VB051","considera_trabajar",1
"VB051","probabilidad_cambiar_planes",7
"VB051","probabilidad_carrera_no_gusta",10
"VB051","influencia_situacion_pais",8
"VB051","esfuerzo_es_suficiente",4
"VB051","sosten_economico_carrera",6
"VB052","probable_continuar_estudios",1
"VB052","estudiar_vale_la_pena",1
"VB052","considera_trabajar",1
"VB052","probabilidad_cambiar_planes",8
"VB052","probabilidad_carrera_no_gusta",10
"VB052","influencia_situacion_pais",10
"VB052","esfuerzo_es_suficiente",5
"VB052","sosten_economico_carrera",5
"VB053","probable_continuar_estudios",10
"VB053","estudiar_vale_la_pena",10
"VB053","considera_trabajar",1
"VB053","probabilidad_cambiar_planes",4
"VB053","probabilidad_carrera_no_gusta",2
"VB053","influencia_situacion_pais",9
"VB053","esfuerzo_es_suficiente",4
"VB053","sosten_economico_carrera",5
"VB054","probable_continuar_estudios",9
"VB054","estudiar_vale_la_pena",8
"VB054","considera_trabajar",0
"VB054","probabilidad_cambiar_planes",1
"VB054","probabilidad_carrera_no_gusta",2
"VB054","influencia_situacion_pais",5
"VB054","esfuerzo_es_suficiente",5
"VB054","sosten_economico_carrera",5
"VB055","probable_continuar_estudios",6
"VB055","estudiar_vale_la_pena",6
"VB055","considera_trabajar",1
"VB055","probabilidad_cambiar_planes",10
"VB055","probabilidad_carrera_no_gusta",7
"VB055","influencia_situacion_pais",9
"VB055","esfuerzo_es_suficiente",5
"VB055","sosten_economico_carrera",1
"VB056","probable_continuar_estudios",10
"VB056","estudiar_vale_la_pena",10
"VB056","considera_trabajar",1
"VB056","probabilidad_cambiar_planes",8
"VB056","probabilidad_carrera_no_gusta",5
"VB056","influencia_situacion_pais",9
"VB056","esfuerzo_es_suficiente",5
"VB056","sosten_economico_carrera",9
"VB057","probable_continuar_estudios",10
"VB057","estudiar_vale_la_pena",10
"VB057","considera_trabajar",0
"VB057","probabilidad_cambiar_planes",9
"VB057","probabilidad_carrera_no_gusta",10
"VB057","influencia_situacion_pais",8
"VB057","esfuerzo_es_suficiente",3
"VB057","sosten_economico_carrera",7
"VB058","probable_continuar_estudios",9
"VB058","estudiar_vale_la_pena",9
"VB058","considera_trabajar",1
"VB058","probabilidad_cambiar_planes",5
"VB058","probabilidad_carrera_no_gusta",6
"VB058","influencia_situacion_pais",5
"VB058","esfuerzo_es_suficiente",5
"VB058","sosten_economico_carrera",6
"VB059","probable_continuar_estudios",10
"VB059","estudiar_vale_la_pena",9
"VB059","considera_trabajar",1
"VB059","probabilidad_cambiar_planes",10
"VB059","probabilidad_carrera_no_gusta",5
"VB059","influencia_situacion_pais",2
"VB059","esfuerzo_es_suficiente",5
"VB059","sosten_economico_carrera",9
"VB060","probable_continuar_estudios",10
"VB060","estudiar_vale_la_pena",10
"VB060","considera_trabajar",1
"VB060","probabilidad_cambiar_planes",4
"VB060","probabilidad_carrera_no_gusta",9
"VB060","influencia_situacion_pais",10
"VB060","esfuerzo_es_suficiente",4
"VB060","sosten_economico_carrera",6
